城市      V1       V2      V3    V4     V5    V6    V7    V8       
北京    	10130	   123  	419  	-183	  57  	45   	25  	5719
重庆    	9835	   182  	419  	-17	    80  	78   	13  	11045
安庆    	10141	   167  	395  	-90   	76  	65   	30  	14749
福州    	10053	   198  	399  	-17	    76  	73   	26  	13936
兰州    	8482	   98	    398  	-197	  56  	54   	8	    3117
广州    	10084	   220   	381  	0	      77  	72   	17  	17361
南宁    	9979	   218   	390  	-19	    79  	75   	13  	13097
贵阳    	8939	   153   	351  	-73	    76  	81   	20  	11177
海口    	10095	   241   	387  	49	    84  	72   	24  	16519
承德    	9712	   91	    433  	-242	  55  	41   	11  	5120
哈尔滨	  9969	   42	    367  	-377  	65  	46   	36  	5243
郑州     	10036	   143	  423  	-179  	67  	57   	24  	6324
武汉     	10136	   166	  393  	-181  	77  	65   	18  	12690
长沙     	10079	   171	  390  	-103  	82  	71   	22  	15464
内蒙古	  8961	   67	    385  	-305  	54  	39   	19  	3979
南京     	10162	   154   	397  	-131  	76  	61   	25  	10624
南昌     	10103	   176   	401  	-97   	77  	67   	25  	16244
长春     	9867	   56   	357  	-330   	63  	43   	39  	5704
沈阳     	10105	   84   	361  	-294   	63  	44   	28  	6903
银川     	8908	   90   	387  	-277   	57  	43   	20  	1863
西宁     	7719	   61   	365  	-249   	55  	55   	15  	3736
西安     	9703	   137   	418  	-160   	70  	60   	16  	5533
济南     	10101	   147   	405  	-149   	57  	47   	30  	6727
上海     	10163	   166   	378  	-77   	76  	62   	32  	11844
太原     	9275	   100   	374  	-227	  59  	46   	20  	4312
西昌     	8377	   169   	366  	-38    	62  	59   	15  	1013
天津     	10168	   126   	405  	-178	  62  	45   	24  	5443
拉萨     	6525	   80	    299  	-165  	44  	50   	19  	4264
乌鲁木齐	9121	   69	    405  	-328  	58  	48   	23  	2863
昆明     	8106	   149	  304  	-78   	72  	58   	21  	10113
杭州     	10117	   165	  399  	-86   	77  	68   	23  	14546
